from_stop_id,to_stop_id,min_transfer_time
2,16,18.0
2,31,28.8
7,15,17.3
7,24,17.3
7,26,33.8
7,35,51.3
7,47,33.8
8,18,70.2
8,22,15.0
10,11,171.7
15,7,49.9
15,26,16.5
15,35,34.0
15,47,16.5
16,2,29.9
16,31,10.8
18,8,83.2
18,22,68.2
22,8,15.0
22,18,85.2
23,11,171.7
24,7,49.9
24,26,16.5
24,35,34.0
24,47,16.5
26,7,33.4
26,15,50.7
26,24,50.7
26,35,17.5
31,2,19.1
31,16,37.2
32,51,148.4
35,7,15.9
35,15,33.2
35,24,33.2
35,26,49.7
35,47,49.7
39,36,94.8
42,56,27.8
45,41,124.7
47,7,33.4
47,15,50.7
47,24,50.7
47,35,17.5
48,49,14.4
49,48,14.4
56,42,28.1
59,61,168.6
60,61,168.6
61,59,168.6
61,60,168.6
61,63,168.6
63,61,168.6
