stop_name,stop_lat,stop_lon,stop_id
Disneyland Main Transportation Center - 11,33.8095095364124,-117.91707665706,1
Toy Story Parking,33.8006386598328,-117.910697116394,2
Katella Ave. WB @ Convention Center,33.80344835,-117.9194413,3
Disneyland Main Transportation Center - 15,33.80960175,-117.9168212,4
Disneyland Main Transportation Center - 19,33.809569,-117.916393,5
Disneyland Main Transportation Center - 20,33.809231,-117.917367,6
Harbor Blvd. SB @ Katella Ave.,33.802844,-117.915467,7
Harbor Blvd. SB @ Orangewood Ave.,33.79687,-117.91525,8
Harbor Blvd. SB @ Wilken Way,33.793846,-117.915161,9
Harbor Blvd. SB @ 1855 S. Harbor Blvd.,33.80078,-117.91561,10
Convention Way EB @ Harbor Blvd.,33.79961,-117.91627,11
Anaheim Convention Center Grand Plaza,33.79960977,-117.917866,12
Anaheim Blvd. SB @ Oak St.,33.83478,-117.91369,13
Harbor Blvd. SB @ Broadway,33.83176,-117.91891,14
Katella Ave. EB @ Harbor Blvd.,33.8032044557994,-117.914552246271,15
Clementine St. NB @ 1752 Clementine St.,33.80462,-117.90973,16
Clementine St. NB @ 1700 S. Clementine St.,33.80532,-117.90941,17
Harbor Blvd. SB @ 2141 S. Harbor Blvd.,33.79464358,-117.9152157,18
Katella Ave. WB @ Anaheim Blvd.,33.80349486,-117.90719629,19
Convention Way EB @ 700 W. Convention Way.,33.79942228,-117.91778721,20
Disneyland Main Transportation Center - 03,33.8093619620262,-117.916990845981,21
Harbor Blvd. NB @ Orangewood Ave.,33.79704,-117.91497,22
Harbor Blvd. NB @ Convention Way,33.800053,-117.915042,23
Harbor Blvd. NB @ 1850 S. Harbor Blvd.,33.8020047062129,-117.9150907323,24
Walnut Ave. NB @ 1240 S. Walnut Ave.,33.81682,-117.92815,25
Harbor Blvd. NB @ Katella Ave.,33.803829,-117.915139,26
Anaheim Blvd. NB @ Oak St.,33.83494,-117.91349,27
Manchester Ave. WB @ Harbor Blvd.,33.81271,-117.91389,28
Anaheim Blvd. SB @ Katella Ave.,33.80492,-117.906665,29
Zeyn St. SB @ Katella Ave.,33.80437,-117.90819,30
Katella Ave. WB @ Clementine Ave.,33.80347,-117.91075,31
Walnut St. NB @ Katella Ave.,33.80368892,-117.92822275,32
Anaheim Blvd. SB @ Anaheim Way,33.80898432,-117.90655578,33
Disneyland Main Transportation Center - 04,33.80938,-117.91719,34
Katella Ave. WB @ Harbor Blvd.,33.803462,-117.915826,35
Ball Rd. EB @ Harbor Blvd.,33.817975,-117.914623,36
Ball Rd. EB @ Walnut St.,33.81794694,-117.9274404,37
Ball Rd. EB @ Cast Place,33.81795,-117.92129,38
Harbor Blvd. SB @ 1221 S. Harbor Blvd.,33.81749,-117.91577,39
Ball Rd. EB @ West Pl.,33.817977,-117.924424,40
La Palma Ave. WB @ Fountain Way,33.85461,-117.84378,41
La Palma Ave. WB @ State College Blvd.,33.8474,-117.88991,42
Vermont Ave WB @ Olive St.,33.82428404,-117.9051358,43
Harbor Blvd. NB @ Santa Ana St.,33.83017,-117.91815,44
La Palma Ave. EB @ Grove St.,33.854681,-117.842713,45
Anaheim Canyon Metrolink Station,33.85484667,-117.8399317,46
Katella Ave. WB @ 515 W. Katella Ave.,33.8035,-117.91411,47
La Palma Ave. EB @ Shepard St.,33.85253,-117.85136,48
La Palma Ave. WB @ Shepard St.,33.8524,-117.85275,49
Disneyland Main Transportation Center - 05,33.8093728962424,-117.916526153269,50
Katella Ave. EB @ Casa Vista St.,33.80314,-117.92723,51
Katella Ave. EB @ 1110 W. Katella Ave.,33.80314,-117.92459,52
Katella Ave. EB @ West St.,33.80315,-117.92359,53
Katella Ave. EB @ Convention Center,33.803151,-117.91967,54
Vermont Ave. EB @ Melrose St.,33.824172,-117.905211,55
La Palma Ave. EB @ State College Blvd.,33.84717,-117.88879,56
Katella Ave. WB @ Auburn,33.8034806614504,-117.893848490837,57
ARTIC Bay 12 and 13,33.8035042168278,-117.876953731317,58
Harbor Blvd. SB @ Chapman Ave.,33.789833,-117.915122,59
Resort Way EB @ Harbor Blvd,33.78761963,-117.91611251,60
Hotels EB @ Harbor Blvd.,33.79119577,-117.91598288,61
Clementine St. NB @ Alro Way,33.808372646922,-117.909898999188,62
Harbor Blvd SB @ 12221 Harbor Blvd.,33.7855580640792,-117.915063551024,63
Katella Ave. EB @ Lewis,33.8032444100898,-117.897008132936,64
Disneyland Main Transportation Center - 07,33.8094999280533,-117.916341148467,65
Disneyland Main Transportation Center - 08,33.809509490265,-117.916510219042,66
ARTIC Bay 8,33.80289548,-117.8775905,67
Disneyland Main Transportation Center - 09,33.8095132998119,-117.916662945929,68
Toy Story Bus Stop,33.8090279174786,-117.917579561369,69
